# prefix,generation number,ASDSF
11307345110548,1500,0.000000
13815866042967,2700,0.000000
14989760463159,2300,0.000000
17127572174209,1500,0.000000
17732809249975,1500,0.000000
18339558781566,2700,0.000000
18925713752561,1500,0.000000
19423333220151,2300,0.000000
2019389458452,1900,0.000000
21196979252071,1900,0.000000
21265780749828,2300,0.000000
21420310001104,3100,0.000000
22337577707982,2700,0.000000
22821081272815,1500,0.000000
27532050398052,2300,0.000000
29850245659160,1900,0.000000
30855796520256,2300,0.000000
30952462979895,1900,0.000000
3125037662127,3100,0.000000
31683021300182,2700,0.000000
32331010336255,3100,0.000000
3271866031101,2300,0.000000
32859589938152,1500,0.000000
35887361123914,2300,0.000000
37136516732939,1500,0.000000
38786826922133,4300,0.000000
39114597284940,1500,0.000000
39488283442224,3100,0.000000
39926611673901,1900,0.000000
4025062474093,2700,0.000000
40841902736621,2700,0.000000
41616791986876,3100,0.000000
42055851798620,1900,0.000000
42968221430361,1500,0.000000
44664314823013,3900,0.000000
44719238814242,2700,0.000000
44832644488079,3900,0.000000
45509400952626,1900,0.000000
46657996893563,2300,0.000000
47352014059470,1500,0.000000
48348275748329,3100,0.000000
50055395241495,1900,0.000000
50571761025019,3100,0.000000
50698603009607,2300,0.000000
51737393239462,1900,0.000000
52702795703670,2300,0.000000
53169695047192,2300,0.000000
54251908713559,2700,0.000000
55118194317720,2300,0.000000
55126902442683,1900,0.000000
55213620425366,1900,0.000000
58189111528473,2700,0.000000
59117417191410,1900,0.000000
59182061559495,1900,0.000000
60035457223539,1900,0.000000
60815391031060,2700,0.000000
62516784611803,1900,0.000000
62825917349107,3900,0.000000
65134435884215,1900,0.000000
65351691556186,3100,0.000000
66885443984942,4700,0.000000
6781822059117,3100,0.000000
68207360359406,5000,0.001067
68704770877927,1900,0.000000
70810372112253,2700,0.000000
71131778816162,2300,0.000000
71761360560528,2300,0.000000
72504138360441,1500,0.000000
74427490082731,3100,0.000000
75816895065825,1500,0.000000
76229053267115,1900,0.000000
7633427999143,2700,0.000000
76500687409994,4300,0.000000
77648791574124,1100,0.000000
80440067357561,2700,0.000000
83194968596745,2700,0.000000
85053137899308,3900,0.000000
85879248522391,2300,0.000000
8594860669496,1900,0.000000
86990508344439,2300,0.000000
87001959780662,2300,0.000000
87008513965837,2300,0.000000
88922291485915,1900,0.000000
88930099140085,2300,0.000000
89057595240092,1900,0.000000
89866545223906,1900,0.000000
90759569523814,3100,0.000000
91624134540468,1900,0.000000
92294873543316,2300,0.000000
94414673184875,2300,0.000000
94813509610735,1900,0.000000
94838227666122,1900,0.000000
9515491521786,2300,0.000000
9581707739265,3500,0.000000
96249867286950,2700,0.000000
96352575061004,1900,0.000000
97111036477609,1900,0.000000
99030611992362,3100,0.000000
99224594586478,2300,0.000000
99999800827471,2300,0.000000
